,category,short_description,date
1138,QUEER VOICES,poz retreats international gatherings people either infected affected hivaids seek enrich lives deeper insights awareness connections community oneself,2015-02-02
1139,MEDIA,twitterworld responds,2017-07-18
1140,QUEER VOICES,make queen proud,2017-09-11
1141,QUEER VOICES,ted mike bobby consider burned,2015-11-10
1142,QUEER VOICES,im training fight country im going fight unjust ban,2017-10-11
1143,QUEER VOICES,none coworkers students knew trans thought id immune effects governmentsanctioned,2017-02-19
1144,QUEER VOICES,week talked rabbi jack moline executive director interfaith alliance inspirational campaign launched interfaith alliance called everyone project,2015-05-07
1145,MEDIA,nothing nothing crazy internet hoax beatpregnancy flu shot six days total darkness,2015-12-19
1146,QUEER VOICES,october transgender writer activist huffpost gay voices blogger justin adkins arrested participating,2012-02-05
1147,QUEER VOICES,pulled curb could barely see road though water welling eyes felt heard future one children would never mine,2012-11-17
1148,QUEER VOICES,latest let love define family series,2016-01-15
1149,QUEER VOICES,lgbt history severely lacking lessons learn school many incredible women deserve,2016-03-13
1150,QUEER VOICES,nearly 50 years country firmly held onto belief forprofit entities cannot discriminate protected classes ordinary commercial transactions principle must undermined,2013-03-16
1151,MEDIA,debate also set record online 14 million people tuned,2015-11-11
1152,QUEER VOICES,talked church leaders maybe even congregation decided would like church welcoming transgender people,2015-01-07
1153,QUEER VOICES,bright warm day 50 years ago week three young men went drink hoped would make history,2016-04-24
1154,QUEER VOICES,,2014-09-27
1155,MEDIA,mahers points vastly generalized analysis incomplete still validity modern america wed ideas fairness sensitivity sometimes become blind obvious,2014-10-11
1156,QUEER VOICES,rapper wrote twitter thought song good song,2018-05-15
1157,QUEER VOICES,shoes display weeks games highlight cause important lgbt people,2017-12-03
1158,QUEER VOICES,genderskewing star promises dazzling unconventional night song dance,2015-07-31
1159,QUEER VOICES,groundbreaking rulings supreme court state victories nearly every part country historic levels public support samesex couples families share freedom marry ever,2013-12-22
1160,QUEER VOICES,david ermold nowhusband fought back kentucky county clerk 2015,2017-11-19
1161,QUEER VOICES,last thursday southern comfort conference atlanta hrc president chad griffin apologized problems hrc trans community hrc responsible years specific demanded held accountable words trans community never heard hrc certainly public,2014-09-13
1162,QUEER VOICES,another one bites dust ones sad one charming remaining gay dives vicinity polk street,2016-01-15
1163,QUEER VOICES,even small step big impact,2015-08-07
1164,QUEER VOICES,millions people rainbowified facebook profile pictures celebration us supreme courts ruling,2015-07-01
1165,MEDIA,someone tell cnn site hacked north korean propaganda ministry tweeted russian chess legend garry kasparov,2018-02-11
1166,QUEER VOICES,bisexual people statistically lower income likely disability,2017-10-27
1167,QUEER VOICES,two years ago black trans woman photographed cover time magazine image represented clear change,2016-11-09
1168,QUEER VOICES,rejection human adaptation primal,2016-10-02
1169,QUEER VOICES,one organizer said want third space cultural gender surveillance,2016-11-17
1170,QUEER VOICES,perverts pedophiles taking advantage law bathrooms major concern chuck hughes said,2016-05-11
1171,MEDIA,may 9 1976 groundbreaking many people walking among us today entering 40th year longterm recovery result far reaching public awareness effort dubbed operation understanding coverage followed,2016-05-08
1172,QUEER VOICES,eap help person living homosexual lifestyle involved way told gay star news according,2012-12-29
1173,MEDIA,san fran become national leader fighting hivaids epidemic,2015-10-08
1174,MEDIA,,2014-08-17
1175,QUEER VOICES,,2014-12-21
1176,QUEER VOICES,voting rights lgbt rights elder rights lgbt rights economic rights lgbt rights perfect storm officials movements coming together support american dream equality,2012-05-26
1177,QUEER VOICES,hell breaks loose last year reverend mykal slack preparing move south durham nearer,2016-07-13
1178,MEDIA,,2016-09-10
1179,QUEER VOICES,case missed babadook lgbtq icon mistakenly listed lgbt section netflix,2017-06-09
1180,QUEER VOICES,new training program equipping leaders fight broad laws banning lgbt discrimination,2015-09-23
1181,QUEER VOICES,match made tv heaven already,2017-01-12
1182,MEDIA,,2014-11-23
1183,QUEER VOICES,america long beacon hope lgbtq hivpositive asylum seekers refugees,2017-01-25
1184,QUEER VOICES,im going notice whats happening brothers sisters place cant ignore,2017-09-29
1185,QUEER VOICES,reverends words quickly condemned religious leaders,2017-12-03
1186,MEDIA,turkish media coming local journalists described one worst crackdowns republics history,2015-10-30
1187,QUEER VOICES,years indiana gov mike pence worked undermine lives gay lesbian families judge ruled hes finally gone far,2014-08-24
1188,MEDIA,,2016-06-18
1189,MEDIA,,2014-10-27
1190,QUEER VOICES,,2015-07-04
1191,MEDIA,lot core institutions public oversight eroded today checks balances going whack right point must either stand strong news media admit openly actually care much pretend,2014-10-21
1192,MEDIA,many media industry like implications,2018-04-07
1193,QUEER VOICES,us ambassador germany confirmed thursday,2018-04-27
1194,QUEER VOICES,,2014-06-29
1195,QUEER VOICES,beloved characters joined glaad honor spirit day,2017-10-18
1196,QUEER VOICES,pride month special stonewall profiles pride honor pride month talk everyone stonewall vets trans,2013-06-16
1197,QUEER VOICES,brb buying tickets,2017-03-20
1198,QUEER VOICES,clip first ever released un address intersex issues,2016-10-27
1199,QUEER VOICES,,2015-05-16
1200,QUEER VOICES,state sen debbie regala tacoma venue changed crossing parking lot shared st leo church,2012-09-30
1201,MEDIA,sites decision remove post raises questions new media companies,2015-07-22
1202,MEDIA,serial breakout hit podcast producers american life among winners broadcast journalisms,2015-12-16
1203,QUEER VOICES,im curious dad could find peace differences homosexuality might different relationship would relationship improve else might discover really like,2014-06-10
1204,QUEER VOICES,minnesotans united families says need 200000 conversations october win broke record 10000 conversations recorded last week unless things ramp amazingly fast appears going lose thing upsets,2012-10-06
1205,MEDIA,difficult deny incredible impact news year better worse,2016-12-07
1206,QUEER VOICES,let lives taken us ever forgotten,2016-08-24
1207,QUEER VOICES,dont support marriage equality simply people want walk aisle one day community live palm springs calif find immense shortage single available pozfriendly soberfriendly total tops,2013-02-23
1208,QUEER VOICES,weve marching long already,2017-06-28
1209,QUEER VOICES,one us constant state transformation evolving growing changing dont secret,2017-04-08
1210,MEDIA,sits jail cell seven inmates hicham mansouri investigative journalist worries colleagues,2015-10-12
1211,QUEER VOICES,love written reallife sibling team,2017-06-17
1212,QUEER VOICES,,2014-05-19
1213,QUEER VOICES,portion sales gifted young march july donated pride lafayette lgbt nonprofit,2014-01-11
1214,QUEER VOICES,newest addition smithsonians national portrait gallery one history books week museum announced,2015-10-29
1215,QUEER VOICES,lineup major,2016-01-27
1216,MEDIA,people wrong freaked,2017-01-25
1217,MEDIA,help washington post,2016-05-24
1218,QUEER VOICES,growing raps raw sound drew repugnant attitudes toward women lgbt community left feeling torn love hophop dislike sometimes stood,2013-08-03
1219,QUEER VOICES,,2014-06-22
1220,MEDIA,exodus comes new revelations sexual harassment claims fox news host,2017-04-05
1221,QUEER VOICES,,2017-05-30
1222,QUEER VOICES,mattachine brief archival rescue went partial payment historic debt victory marriage cases complete debt,2015-03-26
1223,QUEER VOICES,us work whether straight gay view hells kitchen home,2016-09-12
1224,QUEER VOICES,gut told needed go hear false rhetoric aimed transgender community wanted see truly believed hate speech would say face,2016-05-14
1225,QUEER VOICES,long thought lgbt seen proverbial canary mine shaft since places individuals institutions entire societies marginalize commit violence deny basic human rights lgbt people social groups face similar adverse treatment well,2014-06-17
1226,MEDIA,,2014-07-20
1227,QUEER VOICES,lesbians gays bisexual service members equal opportunity protection military one question hear time special warfare community work somebody gay think gay,2015-06-16
1228,QUEER VOICES,heres one way use wall encourage unity rather division,2017-06-01
1229,QUEER VOICES,heres message omm new normal look around families families families exist calling boycott show works expand horizons doesnt make families nonexistent makes us work harder heard,2012-09-08
1230,QUEER VOICES,hard others know okay trans,2017-07-27
1231,QUEER VOICES,didnt think fact concerned 28yearold former nashua selectman born raised,2012-11-18
1232,QUEER VOICES,weekly lgbt wellness roundup,2015-11-25
1233,QUEER VOICES,suspect former client queer youth organization,2017-07-28
1234,MEDIA,new york times expose louis ck accused asking women could masturbate front,2017-11-09
1235,QUEER VOICES,latest let love define family series,2015-11-20
1236,QUEER VOICES,sharing stories international lgbti people part global shift towards acceptance,2016-05-17
1237,QUEER VOICES,,2014-10-11
1238,MEDIA,never media history pakistan experienced large scale resignations top journalists based investigations foreign newspaper jaded skeptical citizens complaining secret services media organizations unable dig stories big one reported nyt,2015-05-23
1239,QUEER VOICES,,2014-07-21
1240,QUEER VOICES,although noelia sold 5 million albums worldwide massed quite collection gold platinum albums named international star year italy us remains relatively unknown,2015-02-06
1241,MEDIA,thomas brennan served iraq afghanistan launching ambitious new military magazine,2016-02-15
1242,MEDIA,claims cnn host shouldnt allowed moderate debate,
1243,QUEER VOICES,tone sweet goodnatured theres nudity violence said theres even fword,2013-12-22
1244,QUEER VOICES,let love let eat cake,2016-08-12
1245,QUEER VOICES,asking possibly live together raise two kids take care dog run household work together seven days week im tell done opportunity,2013-09-14
1246,QUEER VOICES,turns us difficult time talking disability,2017-07-20
1247,QUEER VOICES,40 percent homeless youth identify lgbtq,2017-06-02
